region,lat_zone,k_days,no_prior_top1,no_prior_top3,no_prior_top5,with_prior_top1,with_prior_top3,with_prior_top5,gain_yes_vs_no_top1,gain_yes_vs_no_top3,gain_yes_vs_no_top5
Central West,Far North,7,0.4732142984867096,0.39493292570114136,0.36729222536087036,0.5223214030265808,0.45007452368736267,0.42806077003479004,0.049107104539871216,0.055141597986221313,0.06076854467391968
Central West,Mid,7,0.5970772504806519,0.5125347971916199,0.4674185514450073,0.6784968972206116,0.46169915795326233,0.4252297282218933,0.08141964673995972,-0.050835639238357544,-0.042188823223114014
Central West,North,7,0.2128514051437378,0.24631860852241516,0.2530120611190796,0.21686747670173645,0.2423025369644165,0.2650602459907532,0.004016071557998657,-0.004016071557998657,0.012048184871673584
Central West,South,7,0.23076923191547394,0.33766233921051025,0.3643410801887512,0.3461538553237915,0.3896103799343109,0.3643410801887512,0.11538462340831757,0.05194804072380066,0.0
CentralWest_Mid+South,COMBINED,7,0.5524752736091614,0.38441213965415955,0.3404676914215088,0.594059407711029,0.49207398295402527,0.44946491718292236,0.041584134101867676,0.10766184329986572,0.10899722576141357
East,Far North,7,0.7142857313156128,0.699999988079071,0.6176470518112183,0.0,0.4000000059604645,0.5588235259056091,-0.7142857313156128,-0.29999998211860657,-0.05882352590560913
East,Mid,7,0.4761904776096344,0.46296295523643494,0.45115169882774353,0.5714285969734192,0.47089946269989014,0.42891183495521545,0.09523811936378479,0.0079365074634552,-0.022239863872528076
East,North,7,0.1367521435022354,0.12375533580780029,0.11860068142414093,0.3034188151359558,0.2702702581882477,0.24146758019924164,0.1666666716337204,0.1465149223804474,0.12286689877510071
East,South,7,0.8055555820465088,0.38317757844924927,0.3820224702358246,0.7222222089767456,0.5887850522994995,0.466292142868042,-0.08333337306976318,0.20560747385025024,0.08426967263221741
East_NorthBand,COMBINED,7,0.29487180709838867,0.18776671588420868,0.15699659287929535,0.19658119976520538,0.19630156457424164,0.18003413081169128,-0.09829060733318329,0.008534848690032959,0.023037537932395935
Midwest,Far North,7,0.7345678806304932,0.6865979433059692,0.6032138466835022,0.7160493731498718,0.6432989835739136,0.6007416844367981,-0.018518507480621338,-0.043298959732055664,-0.0024721622467041016
Midwest,Mid,7,0.518324613571167,0.4337978959083557,0.37931033968925476,0.5340313911437988,0.4355400800704956,0.3928944766521454,0.015706777572631836,0.0017421841621398926,0.013584136962890625
Midwest,North,7,0.46000000834465027,0.39689579606056213,0.3723404109477997,0.5,0.45676276087760925,0.41090425848960876,0.03999999165534973,0.05986696481704712,0.03856384754180908
Midwest,South,7,0.3499999940395355,0.26446279883384705,0.27227723598480225,0.20000000298023224,0.3305785059928894,0.3217821717262268,-0.14999999105930328,0.06611570715904236,0.04950493574142456
North East,Far North,7,0.0555555559694767,0.1666666716337204,0.17777778208255768,0.5,0.35185185074806213,0.2777777910232544,0.4444444440305233,0.18518517911434174,0.10000000894069672
North East,North,7,0.7052980065345764,0.6022099256515503,0.5059681534767151,0.4768211841583252,0.5005524754524231,0.48143234848976135,-0.22847682237625122,-0.1016574501991272,-0.024535804986953735
NorthEast_NorthBand,COMBINED,7,0.5874999761581421,0.5119916796684265,0.47496870160102844,0.6499999761581421,0.5474452376365662,0.47496870160102844,0.0625,0.03545355796813965,0.0
South,Far North,7,0.5170068144798279,0.4227272868156433,0.43246930837631226,0.5714285969734192,0.5386363863945007,0.5075033903121948,0.05442178249359131,0.11590909957885742,0.07503408193588257
South,Mid,7,0.7052980065345764,0.6211453676223755,0.5582010746002197,0.639072835445404,0.6376652121543884,0.6005290746688843,-0.06622517108917236,0.01651984453201294,0.04232800006866455
South,North,7,0.20181405544281006,0.15733736753463745,0.12931033968925476,0.30158731341362,0.2465960681438446,0.18874773383140564,0.09977325797080994,0.08925870060920715,0.05943739414215088
South,South,7,0.2540983557701111,0.3306010961532593,0.3442623019218445,0.21311475336551666,0.3224043846130371,0.34590163826942444,-0.04098360240459442,-0.008196711540222168,0.001639336347579956
West,Far North,7,0.33850932121276855,0.2888198792934418,0.2664596140384674,0.28260868787765503,0.2732919156551361,0.27142858505249023,-0.055900633335113525,-0.015527963638305664,0.004968971014022827
West,Mid,7,0.6616332530975342,0.661873459815979,0.6574633121490479,0.62742680311203,0.6284921765327454,0.630901038646698,-0.03420644998550415,-0.03338128328323364,-0.026562273502349854
West,North,7,0.5580395460128784,0.548997163772583,0.5376547574996948,0.6027514934539795,0.6094555854797363,0.5942228436470032,0.044711947441101074,0.06045842170715332,0.05656808614730835
